chapter,target_word,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,thy,0,0,0,0,0,0,0,0
0,thou,0,0,0,0,0,0,0,0
0,one,0,0,0,0,0,0,0,0
1,thy,0,0,0,0,0,0,0,0
1,thou,0,0,0,0,0,0,0,0
1,one,0,0,0,0,0,0,0,0
2,thy,0,0,0,0,0,0,0,0
2,thou,0,0,0,0,0,0,0,0
2,one,0,0,0,0,0,0,0,0
3,thy,0,0,0,0,0,0,0,0
3,thou,0,0,0,0,0,0,0,0
3,one,0,0,0,0,0,0,0,0
4,thy,0,0,0,0,0,0,0,0
4,thou,0,0,0,0,0,0,0,0
4,one,0,0,0,0,0,0,0,0
5,thy,0,0,0,0,0,0,0,0
5,thou,0,0,0,0,0,0,0,0
5,one,0,0,0,0,0,0,0,0
6,thy,0,0,0,0,0,0,0,0
6,thou,0,0,0,0,0,0,0,0
6,one,0,0,0,0,0,0,0,0
7,thy,0,0,0,0,0,0,0,0
7,thou,0,0,0,0,0,0,0,0
7,one,0,0,0,0,0,0,0,0
8,thy,0,0,0,0,0,0,0,0
8,thou,0,0,0,0,0,0,0,0
8,one,0,0,0,0,0,0,0,0
9,thy,0,0,0,0,0,0,0,0
9,thou,0,0,0,0,0,0,0,0
9,one,0,0,0,0,0,0,0,0
10,thy,0,0,0,0,0,0,0,0
10,thou,0,0,0,0,0,0,0,0
10,one,0,0,0,0,0,0,0,0
11,thy,0,0,0,0,0,0,0,0
11,thou,0,0,0,0,0,0,0,0
11,one,0,0,0,0,0,0,0,0
12,thy,0,0,0,0,0,0,0,0
12,thou,0,0,0,0,0,0,0,0
12,one,0,0,0,0,0,0,0,0
13,thy,0,0,0,0,0,0,0,0
13,thou,0,0,0,0,0,0,0,0
13,one,0,0,0,0,0,0,0,0
14,thy,0.0,0.17,0.0,0.0,0.39,0.0,0.17,0.22
14,thou,0.0,0.17,0.0,0.0,0.39,0.0,0.17,0.22
14,one,0.14,0.81,0.17,0.42,0.0,0.17,0.64,0.06
15,thy,0,0,0,0,0,0,0,0
15,thou,0,0,0,0,0,0,0,0
15,one,0,0,0,0,0,0,0,0
16,thy,0,0,0,0,0,0,0,0
16,thou,0,0,0,0,0,0,0,0
16,one,0.47,0.22,0.14,0.17,0.25,0.11,0.39,0.14
17,thy,0,0,0,0,0,0,0,0
17,thou,0,0,0,0,0,0,0,0
17,one,0,0,0,0,0,0,0,0
18,thy,0,0,0,0,0,0,0,0
18,thou,0,0,0,0,0,0,0,0
18,one,0,0,0,0,0,0,0,0
19,thy,0,0,0,0,0,0,0,0
19,thou,0,0,0,0,0,0,0,0
19,one,0,0,0,0,0,0,0,0
20,thy,0,0,0,0,0,0,0,0
20,thou,0,0,0,0,0,0,0,0
20,one,0,0,0,0,0,0,0,0
21,thy,0,0,0,0,0,0,0,0
21,thou,0,0,0,0,0,0,0,0
21,one,0,0,0,0,0,0,0,0
22,thy,0,0,0,0,0,0,0,0
22,thou,0,0,0,0,0,0,0,0
22,one,0,0,0,0,0,0,0,0
23,thy,0,0,0,0,0,0,0,0
23,thou,0,0,0,0,0,0,0,0
23,one,0,0,0,0,0,0,0,0
24,thy,0,0,0,0,0,0,0,0
24,thou,0,0,0,0,0,0,0,0
24,one,0.0,0.36,0.0,0.0,0.56,0.0,0.11,0.72
25,thy,0.0,0.17,0.0,0.0,0.36,0.0,0.08,0.11
25,thou,0.0,0.17,0.0,0.0,0.36,0.0,0.08,0.11
25,one,0.47,0.22,0.14,0.17,0.25,0.11,0.39,0.14
26,thy,0,0,0,0,0,0,0,0
26,thou,0,0,0,0,0,0,0,0
26,one,0,0,0,0,0,0,0,0
27,thy,0,0,0,0,0,0,0,0
27,thou,0,0,0,0,0,0,0,0
27,one,0,0,0,0,0,0,0,0
28,thy,0,0,0,0,0,0,0,0
28,thou,0,0,0,0,0,0,0,0
28,one,0,0,0,0,0,0,0,0
29,thy,0.0,0.17,0.0,0.0,0.36,0.0,0.08,0.11
29,thou,0.47,0.22,0.14,0.17,0.25,0.11,0.39,0.14
29,one,0,0,0,0,0,0,0,0
30,thy,0,0,0,0,0,0,0,0
30,thou,0,0,0,0,0,0,0,0
30,one,0.0,0.17,0.0,0.0,0.36,0.0,0.08,0.11
31,thy,0,0,0,0,0,0,0,0
31,thou,0,0,0,0,0,0,0,0
31,one,0,0,0,0,0,0,0,0
32,thy,0,0,0,0,0,0,0,0
32,thou,0,0,0,0,0,0,0,0
32,one,0,0,0,0,0,0,0,0
33,thy,0,0,0,0,0,0,0,0
33,thou,0,0,0,0,0,0,0,0
33,one,0,0,0,0,0,0,0,0
34,thy,0.14,0.81,0.17,0.42,0.0,0.17,0.64,0.06
34,thou,0,0,0,0,0,0,0,0
34,one,0,0,0,0,0,0,0,0
35,thy,0,0,0,0,0,0,0,0
35,thou,0,0,0,0,0,0,0,0
35,one,0,0,0,0,0,0,0,0
36,thy,0,0,0,0,0,0,0,0
36,thou,0,0,0,0,0,0,0,0
36,one,0,0,0,0,0,0,0,0
37,thy,0,0,0,0,0,0,0,0
37,thou,0,0,0,0,0,0,0,0
37,one,0,0,0,0,0,0,0,0
38,thy,0,0,0,0,0,0,0,0
38,thou,0,0,0,0,0,0,0,0
38,one,0,0,0,0,0,0,0,0
39,thy,0.14,0.81,0.17,0.42,0.0,0.17,0.64,0.06
39,thou,0,0,0,0,0,0,0,0
39,one,0,0,0,0,0,0,0,0
40,thy,0,0,0,0,0,0,0,0
40,thou,0,0,0,0,0,0,0,0
40,one,0,0,0,0,0,0,0,0
41,thy,0,0,0,0,0,0,0,0
41,thou,0,0,0,0,0,0,0,0
41,one,0,0,0,0,0,0,0,0
42,thy,0,0,0,0,0,0,0,0
42,thou,0,0,0,0,0,0,0,0
42,one,0,0,0,0,0,0,0,0
43,thy,0,0,0,0,0,0,0,0
43,thou,0,0,0,0,0,0,0,0
43,one,0,0,0,0,0,0,0,0
44,thy,0,0,0,0,0,0,0,0
44,thou,0,0,0,0,0,0,0,0
44,one,0,0,0,0,0,0,0,0
45,thy,0,0,0,0,0,0,0,0
45,thou,0,0,0,0,0,0,0,0
45,one,0,0,0,0,0,0,0,0
46,thy,0.14,0.81,0.17,0.42,0.0,0.17,0.64,0.06
46,thou,0,0,0,0,0,0,0,0
46,one,0,0,0,0,0,0,0,0
47,thy,0,0,0,0,0,0,0,0
47,thou,0,0,0,0,0,0,0,0
47,one,0,0,0,0,0,0,0,0
48,thy,0,0,0,0,0,0,0,0
48,thou,0,0,0,0,0,0,0,0
48,one,0,0,0,0,0,0,0,0
49,thy,0,0,0,0,0,0,0,0
49,thou,0,0,0,0,0,0,0,0
49,one,0,0,0,0,0,0,0,0
50,thy,0,0,0,0,0,0,0,0
50,thou,0,0,0,0,0,0,0,0
50,one,0,0,0,0,0,0,0,0
51,thy,0,0,0,0,0,0,0,0
51,thou,0,0,0,0,0,0,0,0
51,one,0,0,0,0,0,0,0,0
52,thy,0,0,0,0,0,0,0,0
52,thou,0,0,0,0,0,0,0,0
52,one,0,0,0,0,0,0,0,0
53,thy,0,0,0,0,0,0,0,0
53,thou,0,0,0,0,0,0,0,0
53,one,0,0,0,0,0,0,0,0
54,thy,0,0,0,0,0,0,0,0
54,thou,0,0,0,0,0,0,0,0
54,one,0,0,0,0,0,0,0,0
55,thy,0,0,0,0,0,0,0,0
55,thou,0,0,0,0,0,0,0,0
55,one,0,0,0,0,0,0,0,0
56,thy,0,0,0,0,0,0,0,0
56,thou,0,0,0,0,0,0,0,0
56,one,0,0,0,0,0,0,0,0
57,thy,0,0,0,0,0,0,0,0
57,thou,0,0,0,0,0,0,0,0
57,one,0,0,0,0,0,0,0,0
58,thy,0,0,0,0,0,0,0,0
58,thou,0,0,0,0,0,0,0,0
58,one,0,0,0,0,0,0,0,0
59,thy,0,0,0,0,0,0,0,0
59,thou,0,0,0,0,0,0,0,0
59,one,0,0,0,0,0,0,0,0
60,thy,0,0,0,0,0,0,0,0
60,thou,0,0,0,0,0,0,0,0
60,one,0,0,0,0,0,0,0,0
61,thy,0,0,0,0,0,0,0,0
61,thou,0,0,0,0,0,0,0,0
61,one,0,0,0,0,0,0,0,0
62,thy,0,0,0,0,0,0,0,0
62,thou,0,0,0,0,0,0,0,0
62,one,0,0,0,0,0,0,0,0
63,thy,0,0,0,0,0,0,0,0
63,thou,0,0,0,0,0,0,0,0
63,one,0,0,0,0,0,0,0,0
64,thy,0,0,0,0,0,0,0,0
64,thou,0,0,0,0,0,0,0,0
64,one,0,0,0,0,0,0,0,0
65,thy,0,0,0,0,0,0,0,0
65,thou,0,0,0,0,0,0,0,0
65,one,0,0,0,0,0,0,0,0
66,thy,0,0,0,0,0,0,0,0
66,thou,0,0,0,0,0,0,0,0
66,one,0,0,0,0,0,0,0,0
67,thy,0,0,0,0,0,0,0,0
67,thou,0,0,0,0,0,0,0,0
67,one,0,0,0,0,0,0,0,0
68,thy,0,0,0,0,0,0,0,0
68,thou,0,0,0,0,0,0,0,0
68,one,0,0,0,0,0,0,0,0
69,thy,0,0,0,0,0,0,0,0
69,thou,0,0,0,0,0,0,0,0
69,one,0,0,0,0,0,0,0,0
70,thy,0,0,0,0,0,0,0,0
70,thou,0,0,0,0,0,0,0,0
70,one,0,0,0,0,0,0,0,0
71,thy,0,0,0,0,0,0,0,0
71,thou,0,0,0,0,0,0,0,0
71,one,0,0,0,0,0,0,0,0
72,thy,0,0,0,0,0,0,0,0
72,thou,0,0,0,0,0,0,0,0
72,one,0,0,0,0,0,0,0,0
73,thy,0,0,0,0,0,0,0,0
73,thou,0,0,0,0,0,0,0,0
73,one,0,0,0,0,0,0,0,0
74,thy,0,0,0,0,0,0,0,0
74,thou,0,0,0,0,0,0,0,0
74,one,0,0,0,0,0,0,0,0
75,thy,0,0,0,0,0,0,0,0
75,thou,0,0,0,0,0,0,0,0
75,one,0,0,0,0,0,0,0,0
76,thy,0,0,0,0,0,0,0,0
76,thou,0,0,0,0,0,0,0,0
76,one,0,0,0,0,0,0,0,0
77,thy,0,0,0,0,0,0,0,0
77,thou,0,0,0,0,0,0,0,0
77,one,0,0,0,0,0,0,0,0
78,thy,0,0,0,0,0,0,0,0
78,thou,0,0,0,0,0,0,0,0
78,one,0,0,0,0,0,0,0,0
79,thy,0,0,0,0,0,0,0,0
79,thou,0,0,0,0,0,0,0,0
79,one,0,0,0,0,0,0,0,0
80,thy,0,0,0,0,0,0,0,0
80,thou,0,0,0,0,0,0,0,0
80,one,0,0,0,0,0,0,0,0
81,thy,0,0,0,0,0,0,0,0
81,thou,0,0,0,0,0,0,0,0
81,one,0,0,0,0,0,0,0,0
82,thy,0,0,0,0,0,0,0,0
82,thou,0,0,0,0,0,0,0,0
82,one,0,0,0,0,0,0,0,0
83,thy,0,0,0,0,0,0,0,0
83,thou,0,0,0,0,0,0,0,0
83,one,0,0,0,0,0,0,0,0
84,thy,0,0,0,0,0,0,0,0
84,thou,0,0,0,0,0,0,0,0
84,one,0,0,0,0,0,0,0,0
85,thy,0,0,0,0,0,0,0,0
85,thou,0,0,0,0,0,0,0,0
85,one,0,0,0,0,0,0,0,0
86,thy,0,0,0,0,0,0,0,0
86,thou,0,0,0,0,0,0,0,0
86,one,0,0,0,0,0,0,0,0
87,thy,0,0,0,0,0,0,0,0
87,thou,0,0,0,0,0,0,0,0
87,one,0,0,0,0,0,0,0,0
88,thy,0.0,0.22,0.0,0.0,0.44,0.0,0.06,0.14
88,thou,0,0,0,0,0,0,0,0
88,one,0,0,0,0,0,0,0,0
89,thy,0,0,0,0,0,0,0,0
89,thou,0.14,0.81,0.17,0.42,0.0,0.17,0.64,0.06
89,one,0,0,0,0,0,0,0,0
90,thy,0,0,0,0,0,0,0,0
90,thou,0,0,0,0,0,0,0,0
90,one,0,0,0,0,0,0,0,0
91,thy,0,0,0,0,0,0,0,0
91,thou,0.14,0.81,0.17,0.42,0.0,0.17,0.64,0.06
91,one,0,0,0,0,0,0,0,0
92,thy,0,0,0,0,0,0,0,0
92,thou,0,0,0,0,0,0,0,0
92,one,0,0,0,0,0,0,0,0
93,thy,0,0,0,0,0,0,0,0
93,thou,0,0,0,0,0,0,0,0
93,one,0,0,0,0,0,0,0,0
94,thy,0,0,0,0,0,0,0,0
94,thou,0,0,0,0,0,0,0,0
94,one,0,0,0,0,0,0,0,0
95,thy,0,0,0,0,0,0,0,0
95,thou,0,0,0,0,0,0,0,0
95,one,0,0,0,0,0,0,0,0
96,thy,0,0,0,0,0,0,0,0
96,thou,0,0,0,0,0,0,0,0
96,one,0,0,0,0,0,0,0,0
97,thy,0,0,0,0,0,0,0,0
97,thou,0,0,0,0,0,0,0,0
97,one,0,0,0,0,0,0,0,0
98,thy,0,0,0,0,0,0,0,0
98,thou,0,0,0,0,0,0,0,0
98,one,0,0,0,0,0,0,0,0
99,thy,0,0,0,0,0,0,0,0
99,thou,0,0,0,0,0,0,0,0
99,one,0,0,0,0,0,0,0,0
