chapter,target_word,NOUN,VERB,ADJ,ADV,PRON,PROPN
0,thy,4,1,0,0,2,0
0,thou,9,8,3,3,7,3
0,one,1,0,0,0,1,0
1,thy,20,6,6,4,2,1
1,thou,13,9,4,4,8,5
1,one,0,1,1,2,2,0
2,thy,0,0,0,0,0,0
2,thou,4,4,1,4,1,0
2,one,3,2,1,2,2,1
3,thy,1,0,1,0,0,0
3,thou,4,3,0,1,5,2
3,one,3,2,2,0,1,0
4,thy,8,1,0,0,1,1
4,thou,6,6,1,3,5,1
4,one,8,2,1,4,2,0
5,thy,5,2,1,1,0,1
5,thou,8,1,1,3,4,5
5,one,3,1,0,3,1,1
6,thy,4,1,1,1,0,2
6,thou,2,2,2,6,0,6
6,one,3,2,2,0,0,0
7,thy,1,1,0,2,0,1
7,thou,10,3,4,3,7,8
7,one,4,4,1,0,2,0
8,thy,3,3,1,1,1,1
8,thou,2,2,2,1,0,1
8,one,3,4,0,0,3,0
9,thy,11,10,2,2,3,1
9,thou,9,10,1,3,6,7
9,one,0,1,0,1,2,0
10,thy,7,1,2,2,0,0
10,thou,7,4,0,5,2,3
10,one,1,1,1,1,1,1
11,thy,5,2,0,2,0,1
11,thou,4,0,2,2,0,1
11,one,1,3,0,0,3,0
12,thy,10,1,2,1,2,1
12,thou,7,7,3,4,6,8
12,one,4,2,0,0,1,1
13,thy,8,2,1,2,0,0
13,thou,9,5,3,3,2,6
13,one,3,1,1,0,1,1
14,thy,7,3,1,0,0,0
14,thou,7,4,1,7,2,2
14,one,7,2,2,0,6,0
15,thy,7,4,0,2,2,3
15,thou,10,3,2,1,4,3
15,one,4,3,2,4,2,1
16,thy,3,1,2,0,0,0
16,thou,4,3,1,3,3,5
16,one,1,0,0,0,3,0
17,thy,7,4,2,0,0,2
17,thou,6,1,1,0,1,1
17,one,1,4,0,0,3,0
18,thy,6,2,0,1,1,2
18,thou,4,5,5,6,4,3
18,one,1,2,0,1,3,0
19,thy,5,4,0,1,1,1
19,thou,4,3,4,2,2,1
19,one,0,0,0,2,0,1
20,thy,2,2,0,0,0,0
20,thou,6,5,1,2,3,6
20,one,7,3,3,1,3,4
21,thy,6,2,0,0,0,0
21,thou,3,7,2,2,2,1
21,one,5,3,2,1,7,0
22,thy,6,3,1,1,1,0
22,thou,5,5,1,0,5,2
22,one,4,6,1,2,3,0
23,thy,3,4,1,1,0,0
23,thou,4,3,1,2,4,0
23,one,4,1,1,0,3,1
24,thy,3,1,1,0,0,0
24,thou,3,3,1,3,0,0
24,one,6,4,1,5,4,1
25,thy,11,4,0,0,3,1
25,thou,2,1,2,2,1,3
25,one,3,0,0,0,1,0
26,thy,4,1,1,3,0,1
26,thou,3,2,1,2,4,2
26,one,0,1,0,0,1,1
27,thy,3,1,0,0,0,0
27,thou,6,5,0,2,4,2
27,one,8,3,0,1,3,0
28,thy,8,4,2,4,1,1
28,thou,8,4,3,5,4,2
28,one,6,5,0,2,5,1
29,thy,14,1,2,1,1,1
29,thou,7,3,5,4,2,2
29,one,12,5,2,1,2,1
30,thy,9,5,1,1,0,0
30,thou,6,5,1,2,3,2
30,one,3,2,1,4,2,0
31,thy,13,0,2,3,1,1
31,thou,9,13,3,2,7,5
31,one,7,1,2,0,1,1
32,thy,4,4,0,0,0,0
32,thou,12,7,8,9,8,5
32,one,2,3,0,0,3,1
33,thy,3,1,0,0,0,0
33,thou,5,3,5,2,1,2
33,one,2,2,0,1,1,0
34,thy,6,3,1,0,3,2
34,thou,8,4,3,3,2,1
34,one,1,0,0,0,1,0
35,thy,2,2,1,0,0,0
35,thou,2,2,2,2,1,1
35,one,2,3,1,3,4,1
36,thy,4,0,1,0,1,0
36,thou,3,4,2,3,4,6
36,one,6,4,1,0,2,0
37,thy,2,1,0,0,1,0
37,thou,11,6,1,0,0,4
37,one,3,1,0,0,6,2
38,thy,10,2,2,2,2,3
38,thou,6,7,3,5,7,5
38,one,2,0,2,1,2,1
39,thy,22,13,1,3,1,4
39,thou,21,10,4,9,5,11
39,one,2,2,4,0,2,0
40,thy,3,2,0,2,1,0
40,thou,6,1,0,1,1,6
40,one,1,1,0,0,2,0
41,thy,4,1,1,0,0,0
41,thou,6,2,2,1,2,5
41,one,1,5,2,1,3,1
42,thy,4,2,0,0,0,1
42,thou,2,3,0,0,0,1
42,one,4,0,0,1,1,1
43,thy,5,3,2,0,0,2
43,thou,2,1,0,0,2,2
43,one,6,3,3,1,0,0
44,thy,10,2,4,1,0,4
44,thou,6,2,0,4,2,10
44,one,1,2,1,1,0,2
45,thy,10,2,0,3,0,2
45,thou,6,4,1,1,1,1
45,one,2,1,0,0,1,0
46,thy,7,1,2,2,1,1
46,thou,6,9,3,1,7,2
46,one,5,1,1,0,1,0
47,thy,12,5,0,0,3,0
47,thou,11,3,2,1,3,2
47,one,0,1,0,1,1,0
48,thy,12,3,1,0,1,2
48,thou,4,3,2,3,1,6
48,one,0,0,1,0,1,0
49,thy,3,2,0,2,0,1
49,thou,7,8,1,1,7,4
49,one,10,5,1,2,3,2
50,thy,4,1,1,1,0,0
50,thou,5,5,0,4,3,4
50,one,1,1,0,0,0,0
51,thy,5,2,1,1,2,1
51,thou,3,2,2,1,1,1
51,one,1,2,0,0,0,1
52,thy,6,4,2,1,0,1
52,thou,4,8,0,3,3,6
52,one,0,0,0,0,0,2
53,thy,8,1,2,2,0,0
53,thou,5,3,3,2,5,5
53,one,3,2,0,0,3,0
54,thy,5,1,0,0,1,0
54,thou,8,3,3,2,1,6
54,one,0,2,2,0,2,0
55,thy,5,1,0,0,0,2
55,thou,6,5,0,3,4,5
55,one,4,1,1,0,2,0
56,thy,0,0,0,0,0,0
56,thou,3,3,2,4,2,4
56,one,0,0,0,0,0,0
57,thy,0,0,0,0,0,0
57,thou,2,1,1,1,0,2
57,one,9,5,0,3,3,0
58,thy,7,4,1,0,1,0
58,thou,3,1,3,1,3,3
58,one,4,1,1,1,2,2
59,thy,4,0,0,2,1,0
59,thou,2,2,1,4,5,2
59,one,4,2,2,2,2,1
60,thy,10,3,2,1,2,1
60,thou,8,5,1,1,1,3
60,one,3,2,0,0,0,2
61,thy,6,3,0,1,0,0
61,thou,3,2,0,1,3,3
61,one,1,1,1,0,0,0
62,thy,1,1,0,0,0,1
62,thou,1,1,2,0,0,0
62,one,3,5,2,1,4,1
63,thy,2,0,0,0,0,0
63,thou,1,2,1,1,1,2
63,one,0,1,1,2,2,1
64,thy,22,5,4,1,2,3
64,thou,6,8,4,5,5,11
64,one,4,0,1,1,2,0
65,thy,0,0,0,0,0,0
65,thou,4,4,2,2,2,1
65,one,1,1,2,0,1,0
66,thy,8,2,1,1,0,2
66,thou,9,8,2,4,4,7
66,one,4,4,1,1,4,1
67,thy,6,1,3,0,2,3
67,thou,9,6,3,4,6,6
67,one,2,2,2,1,0,0
68,thy,7,3,1,1,1,2
68,thou,7,6,2,5,1,2
68,one,2,1,1,2,0,0
69,thy,3,2,1,0,2,0
69,thou,6,6,0,2,3,1
69,one,1,0,0,1,1,0
70,thy,6,4,1,1,1,0
70,thou,2,1,3,5,2,3
70,one,0,0,0,1,1,1
71,thy,7,5,0,0,1,0
71,thou,11,9,2,4,4,6
71,one,2,3,1,0,2,3
72,thy,2,1,1,1,0,0
72,thou,2,1,0,1,0,0
72,one,0,1,1,1,2,0
73,thy,6,5,1,1,2,1
73,thou,8,5,1,3,3,2
73,one,4,4,0,1,1,1
74,thy,8,2,1,0,2,0
74,thou,10,4,1,0,5,2
74,one,7,2,2,1,3,1
75,thy,6,3,0,2,1,1
75,thou,2,3,0,1,1,0
75,one,2,1,0,1,3,2
76,thy,5,5,1,0,3,2
76,thou,2,0,1,0,0,1
76,one,3,2,0,0,3,0
77,thy,5,2,1,1,1,0
77,thou,3,4,0,0,0,1
77,one,5,4,0,1,5,1
78,thy,0,0,0,0,0,0
78,thou,2,0,0,0,0,1
78,one,4,0,1,0,1,1
79,thy,4,3,0,0,1,0
79,thou,8,2,1,0,3,4
79,one,6,4,1,1,6,0
80,thy,0,0,0,0,0,0
80,thou,0,0,0,0,0,0
80,one,0,1,0,0,1,1
81,thy,13,5,3,2,4,0
81,thou,4,1,1,1,3,6
81,one,2,2,1,0,0,1
82,thy,1,0,1,0,0,0
82,thou,3,2,1,2,1,0
82,one,1,1,1,0,2,1
83,thy,11,7,2,2,0,1
83,thou,10,7,3,3,4,1
83,one,2,0,0,0,1,0
84,thy,6,2,1,0,1,2
84,thou,2,0,1,1,6,2
84,one,0,2,0,1,0,0
85,thy,2,1,1,2,0,1
85,thou,4,0,3,2,3,0
85,one,4,0,1,2,0,0
86,thy,4,1,1,0,0,0
86,thou,1,2,2,1,1,3
86,one,3,3,0,1,1,0
87,thy,8,1,2,0,1,0
87,thou,10,3,1,3,3,1
87,one,3,0,0,0,0,0
88,thy,11,6,3,1,2,2
88,thou,8,5,5,6,3,1
88,one,2,0,1,1,1,0
89,thy,5,3,1,0,0,1
89,thou,5,2,2,1,1,3
89,one,0,1,0,0,1,0
90,thy,11,1,1,3,1,3
90,thou,7,3,3,6,7,5
90,one,0,3,4,0,2,2
91,thy,6,4,0,2,0,0
91,thou,8,1,3,3,5,0
91,one,0,1,1,1,1,0
92,thy,15,3,1,3,1,1
92,thou,4,2,3,2,1,0
92,one,1,0,0,0,0,0
93,thy,4,3,1,0,1,0
93,thou,6,3,1,2,1,3
93,one,3,2,1,1,0,0
94,thy,2,2,0,0,0,1
94,thou,2,2,0,1,2,0
94,one,0,0,0,1,2,1
95,thy,4,2,0,0,1,1
95,thou,4,5,2,3,3,6
95,one,3,1,1,1,1,1
96,thy,4,0,0,0,1,0
96,thou,6,2,2,2,2,1
96,one,5,2,0,0,2,0
97,thy,8,3,3,1,0,2
97,thou,7,2,2,0,2,1
97,one,3,0,1,0,0,2
98,thy,7,4,2,1,2,0
98,thou,6,4,3,0,2,2
98,one,0,0,0,0,0,0
99,thy,9,4,0,1,0,2
99,thou,6,4,3,4,4,0
99,one,7,7,2,2,5,0
